2,1
2,1
4,2
5,3
8,2
11,2
16,3
22,3
32,3
45,3
64,3
90,3
128,4
181,4
256,4
362,4
512,4
724,4
1024,4
1448,4
2048,4
2896,5
4096,5
5792,4
8192,5
11585,5
16384,5
23170,5
32768,5
46340,5
65536,5
92681,5
131072,5
185363,5
2,0
2,0
4,2
5,3
8,2
11,3
16,3
22,4
32,3
45,4
64,3
90,4
128,4
181,4
256,4
362,4
512,4
724,4
1024,4
1448,4
2048,4
2896,4
4096,4
5792,5
8192,5
11585,5
16384,5
23170,5
32768,5
46340,5
65536,5
92681,5
131072,5
185363,5
262144,5
370727,6
2,1
2,1
4,1
5,2
8,2
11,5
16,3
22,3
32,3
45,3
64,4
90,3
128,4
181,3
256,4
362,4
512,4
724,4
1024,4
1448,4
2048,4
2896,4
4096,4
5792,4
8192,4
11585,5
16384,5
23170,5
32768,5
46340,5
65536,5
92681,5
131072,5
185363,5
262144,5
2,1
2,0
4,1
5,2
8,3
11,3
16,3
22,3
32,3
45,3
64,3
90,4
128,4
181,4
256,4
362,4
512,4
724,4
1024,4
1448,4
2048,4
2896,4
4096,4
5792,4
8192,5
11585,5
16384,5
23170,5
32768,5
46340,5
65536,5
92681,5
131072,5
185363,5
262144,5
2,0
2,1
4,2
5,2
8,2
11,2
16,2
22,3
32,3
45,3
64,3
90,3
128,4
181,3
256,4
362,4
512,4
724,4
1024,4
1448,4
2048,4
2896,4
4096,4
5792,5
8192,5
11585,5
16384,5
23170,5
32768,5
46340,5
65536,5
92681,5
131072,5
185363,5
262144,5
2,1
2,1
4,3
5,2
8,3
11,2
16,3
22,3
32,4
45,3
64,3
90,3
128,4
181,4
256,4
362,4
512,4
724,4
1024,4
1448,4
2048,4
2896,4
4096,4
5792,4
8192,5
11585,5
16384,5
23170,5
32768,5
46340,5
65536,5
92681,5
131072,5
185363,5
262144,5
2,1
2,1
4,2
5,3
8,2
11,3
16,3
22,3
32,2
45,3
64,3
90,3
128,4
181,4
256,4
362,4
512,4
724,4
1024,4
1448,4
2048,4
2896,5
4096,4
5792,5
8192,5
11585,5
16384,5
23170,5
32768,5
46340,5
65536,5
92681,5
131072,5
185363,5
262144,5
2,1
2,1
4,2
5,2
8,2
11,2
16,4
22,3
32,4
45,3
64,3
90,3
128,3
181,4
256,4
362,4
512,4
724,4
1024,4
1448,4
2048,4
2896,4
4096,4
5792,5
8192,4
11585,5
16384,5
23170,5
32768,5
46340,5
65536,5
92681,5
131072,5
185363,5
262144,5
2,0
2,0
4,2
5,3
8,2
11,2
16,3
22,3
32,3
45,3
64,3
90,3
128,3
181,4
256,4
362,4
512,4
724,4
1024,4
1448,5
2048,4
2896,5
4096,4
5792,4
8192,5
11585,5
16384,5
23170,5
32768,5
46340,5
65536,5
92681,5
131072,5
185363,5
262144,5
2,1
2,1
4,2
5,2
8,2
11,2
16,2
22,3
32,3
45,4
64,3
90,4
128,4
181,4
256,4
362,4
512,4
724,4
1024,4
1448,4
2048,5
2896,4
4096,4
5792,4
8192,4
11585,5
16384,5
23170,5
32768,5
46340,5
65536,5
92681,5
131072,5
185363,5
262144,5
2,1
2,0
4,2
5,2
8,2
11,2
16,2
22,3
32,3
45,4
64,3
90,4
128,3
181,4
256,4
362,4
512,4
724,4
1024,4
1448,4
2048,4
2896,4
4096,5
5792,4
8192,5
11585,5
16384,5
23170,5
32768,5
46340,5
65536,5
92681,5
131072,5
185363,5
262144,5
